ID,Event description ,Location,Year,Manufacturer ,Image credit,Image credit,End user ,Wepon type,Weapon model,Country producer ,Company name,Headquarters,Source URL ,Source URL 2,Source URL 3,Source URL 4
LLW 001,Chilean police forces fire from watercannon during student protests. ,Chile,2022,"Nukol Makina, Turkey",@revistacitrica,@revistacitrica,Chile ,Watercannon,Ejder Toma,Turkey ,Nurol Makina,Ankara,https://twitter.com/revistacitrica/status/1567198760140242944,,,
LLW 002,Chilean police using armoured vehicles to disperse protesters. ,Chile,2020,"Mahindra Emirates Vehicle Armouring, UAE, India ",Martin Bernetti,Martin Bernetti,Chile ,Armoured personnel carrier,Mahindra Marksman (APC) ,"India, UAE ","Mahindra & Mahindra Defence, Mahindra Emirates Vehicle Armouring",Emirate of Ras Al Khaimah,https://www.instagram.com/p/CHRS31uD2Cu/?hl=en,https://twitter.com/PiensaPrensa/status/1332468013879189506,,
LLW 003,Police forces using tear gas to disperse protesters who took the streets of Colombian towns to demand fair wages for young people.,Colombia,2019,"Pepper Ball, USA",@IvanCepedaCast,@IvanCepedaCast,Colombia,Grenade launcher ,,USA,Pepper Ball ,San Diego,https://twitter.com/alejabolivarian/status/1197528291995013121,,,
LLW 004,Colombian security forces throwing tear gas and beating protesters. ,Colombia,2021,"Combined Systems, USA",@JUANCAELBROKY,@JUANCAELBROKY,Colombia,Grenade launcher ,Penn Arms (37/38mm launchers) ,USA,Combined Systems,"Jamestown, Pennsylvania",https://twitter.com/piedadcordoba/status/1410029666317000706,,,
LLW 005,Colombian police using Venom grenade launcher to disperse protesters.,Colombia,2021,"Combined Systems, USA",@La_eche,@La_eche,Colombia,Grenade launcher ,Venom,USA,Combined Systems,"Jamestown, Pennsylvania",https://observers.france24.com/en/americas/20210526-colombia-police-protests-venom-grenade-launchers,https://www.wired.com/story/out-of-control-spread-of-crowd-control-tech/?utm_source=twitter&utm_medium=social&utm_brand=wired&utm_social-type=owned,,
LLW 006,Armoured vehicles used to police protests in Bolivia.,Bolivia,2019,"Shaanxi Baoji Special Vehicles Manufacturing Co., Ltd, China",@amandaasubiar,@amandaasubiar,Bolivia ,Armoured personnel carrier,Baoji Special Vehicles Manufacturing (APC) ,China,"Shaanxi Baoji Special Vehicles Manufacturing Co., Ltd",Shaanxi,https://twitter.com/amandaasubiar/status/1194054500287492096?s=20&t=mOdibx8VaDwKc2ZiRNtNoQ,,,
LLW 007,Used tear gas canisters found on the streets of Lima after police fired tear gas on protesters. ,Peru,2020,"Nonlethal Technologies Inc, USA",CNN,CNN,Peru,Tear gas canister ,Non-lethal technology tear gas (MP-4L-CS) ,USA,Nonlethal Technologies Inc,"Homer City, Pennsylvania",https://www.youtube.com/watch?v=wL30h5i5cgM&ab_channel=CNNenEspa%C3%B1ol,,,
LLW 008,Police firing at protesters during protests in Peru ,Peru,2022,"Federal Laboratories, USA",@periodismoocult,@periodismoocult,Peru,Grenade launcher ,Model 201-z (Federal Riot Gun / Handheld 37/37mm grenade launcher) ,USA,Federal laboratories,Washington,https://twitter.com/periodismoocult/status/1510331428654956551,https://twitter.com/SITOBUR/status/1277754644144500736,,
LLW 010,Police firing at protesters during protests in Peru ,Peru,2020,"Federal Laboratories, USA","@RPPNoticias?
","@RPPNoticias?
",Peru,Grenade launcher ,Model 201-z (Federal Riot Gun / Handheld 37/37mm grenade launcher) ,USA,Federal laboratories,Washington,https://twitter.com/JaimeChincha/status/1327796278084988931,,,
LLW 011,Police firing at protesters during protests in Peru ,Peru,2020,"Federal Laboratories, USA",Alessandro Currarino,Alessandro Currarino,Peru,Grenade launcher ,Model 201-z (Federal Riot Gun / Handheld 37/37mm grenade launcher) ,USA,Federal laboratories,Washington,https://www.instagram.com/p/CHvHbX3n777/?hl=en,,,
LLW 012,Police firing tear gas during anti-government protests in Lima.,Peru,2023,"Sipja, South Korea",Aldair Mejía,Aldair Mejía,Peru ,Grenade launcher ,SJ 600N,South Korea ,Sipja ,Busan,https://www.instagram.com/p/CnNzhbirtch/?utm_source=ig_web_copy_link&igshid=MzRlODBiNWFlZA==,,,
